res_id,name,establishment,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,opentable_support,delivery,takeaway,STATE,AREA,votes
18895645,Plum By Bent Chair,['Casual Dining'],"The Walk, Worldmark 2, Aerocity, New Delhi",New Delhi,1,Aerocity,28.55154,77.122704,,1,"Aerocity, New Delhi",Asian,12noon â€“ 1am (Mon-Sun),0,1,Rs.,"['Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Serves Cocktails', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Sneakpeek', 'Valet Parking Available']",4.9,Excellent,0,-1,-1,Delhi,1484,1545
18429148,Pa Pa Ya,['Fine Dining'],"Dome, Level 4, Select Citywalk, A-3, District Centre, Saket, New Delhi",New Delhi,1,"Select Citywalk Mall, Saket",28.52839131,77.21861087,,1,"Select Citywalk Mall, Saket, New Delhi","Asian, Chinese, Thai, Japanese",12Noon to 1AM (Mon-Sun),2500,4,Rs.,"['Credit Card', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Dinner', 'Mall Parking', 'Fullbar', 'Air Conditioned', 'Smoking Area', 'Brunch', 'Indoor Seating', 'Table booking recommended']",4.7,Excellent,0,-1,-1,Delhi,1484,3234
18418277,Ministry Of Beer,['Lounge'],"M 44, Outer Circle, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.6332862,77.2227874,110001,1,"Connaught Place, New Delhi","Continental, Italian, Asian, Momos",12 Noon to 1 AM (Mon-Sun),1500,3,Rs.,"['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Dance Floor', 'Nightlife', 'Fullbar', 'Live Music', 'Above 18 Only', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Smoking Area', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Wifi']",4.5,Excellent,0,-1,-1,Delhi,1484,3043
18625812,Detroit,['Bar'],"F40, 2nd Floor, Inner Circle, 
Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.63135693,77.2202507,,1,"Connaught Place, New Delhi","Bar Food, Mexican, Italian",Mon-Sun (12 Noon to 1 AM),1500,3,Rs.,"['Lunch', 'Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Nightlife', 'Fullbar', 'Air Conditioned', 'Sports TV', 'Indoor Seating', 'Table booking recommended', 'Sneakpeek']",4.6,Excellent,0,-1,-1,Delhi,1484,1327
18423151,The Darzi Bar & Kitchen,['Casual Dining'],"H 55, 1st Floor, Outer Circle, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.63550794,77.21909601,,1,"Connaught Place, New Delhi","North Indian, Chinese, Continental, Pizza",12 Noon to 1 AM,1500,3,Rs.,"['Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Dinner', 'Debit Card', 'Air Conditioned', 'Live Sports Screening', 'Fullbar', 'Indoor Seating', 'Rooftop', 'Free Wifi', 'Axis Bank - Dining Delights', 'Smoking Area', 'DJ', 'Valet Parking Available', 'Live Music']",4.3,Very Good,0,-1,-1,Delhi,1484,3211
18649486,The Drunken Botanist,['Bar'],"Unit 1B & 1C, Upper Ground Floor-C, Building 10C, Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City",28.4936741,77.0883343,,1,"Cyber Hub, DLF Cyber City, Gurgaon","Continental, Italian, North Indian, Chinese",Mon-Sun (12 Noon to 1 AM),2000,4,Rs.,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Debit Card', 'Nightlife', 'Indoor Seating', 'Table booking recommended', 'DJ', 'Fullbar', 'Air Conditioned', 'Smoking Area']",4.4,Very Good,0,-1,-1,Haryana,44212,5554
18238278,Tamasha,['Bar'],"28, Block A, Kasturba Gandhi Marg, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.62966246,77.22186003,110001,1,"Connaught Place, New Delhi","Finger Food, North Indian, Continental, Italian",12 Noon to 1 AM (Mon-Sun),1600,3,Rs.,"['Credit Card', 'Serves Alcohol', 'Debit Card', 'Lunch', 'Cash', 'Dinner', 'Table booking recommended', 'Digital Payments Accepted', 'DJ', 'Fullbar', 'Air Conditioned', 'Live Entertainment', 'Outdoor Seating', 'Hookah', 'Live Sports Screening', 'Live Music', 'Smoking Area', 'Nightlife', 'Indoor Seating']",4.5,Excellent,0,-1,-1,Delhi,1484,8702
308322,Hauz Khas Social,['Lounge'],"9-A & 12, Hauz Khas Village, New Delhi",New Delhi,1,Hauz Khas Village,28.55429353,77.19443813,,1,"Hauz Khas Village, New Delhi","Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",11am â€“ 12:30AM (Mon-Sun),1300,3,Rs.,"['Dinner', 'Delivery', 'Credit Card', 'Breakfast', 'Lunch', 'Serves Alcohol', 'Cash', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Fullbar', 'Live Music', 'Romantic Dining', 'Paid Wifi', 'Air Conditioned', 'Smoking Area', 'Nightlife', 'Outdoor Seating', 'Indoor Seating', 'Table reservation required', 'Wifi', 'All Day Breakfast']",4.8,Excellent,0,1,-1,Delhi,1484,14751
18382360,Local,['Bar'],"11, KG Marg, Scindia House, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.62991407,77.22117137,110001,1,"Connaught Place, New Delhi","North Indian, Continental, Momos",11 AM to 1 AM,1600,3,Rs.,"['Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'DJ', 'Live Sports Screening', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Nightlife', 'Fullbar', 'Table booking recommended', 'Sneakpeek', 'Smoking Area']",4.3,Very Good,0,-1,-1,Delhi,1484,6583
307374,AMA Cafe,['CafÃ©'],"House 6, New Colony, Majnu ka Tila, New Delhi",New Delhi,1,Majnu ka Tila,28.70258176,77.22841937,110054,1,"Majnu ka Tila, New Delhi","Cafe, Juices",7 AM to 10 PM,450,1,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Wifi']",4.5,Excellent,0,-1,-1,Delhi,1484,3749
18810973,Delhi Darbar Biryani Point,['Quick Bites'],"B-234, Gate 4, East Metro Station, Uttam Nagar, New Delhi",New Delhi,1,Uttam Nagar,28.62542822,77.06446063,110059,1,"Uttam Nagar, New Delhi",Biryani,9am â€“ 11pm (Mon-Sun),200,1,Rs.,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",4.2,Very Good,0,1,-1,Delhi,1484,1009
